epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1067.77,0.77476,0.48603,1.05365,0.97368,0.97375,0.9824,0.77704,0.84625,0.42737,1.08804,0.000342666,0.000342666,0.000342666
58,1086.39,0.77014,0.48722,1.04437,0.97087,0.9759,0.98075,0.77123,0.83934,0.45673,1.07791,0.000335053,0.000335053,0.000335053
59,1104.85,0.76068,0.4831,1.04364,0.97986,0.97288,0.97888,0.77132,0.85416,0.42976,1.11153,0.00032744,0.00032744,0.00032744
60,1123.46,0.75912,0.47669,1.05007,0.98326,0.97878,0.98458,0.77689,0.8369,0.42716,1.06658,0.000319827,0.000319827,0.000319827
61,1142.02,0.75285,0.47122,1.03957,0.97857,0.97752,0.98489,0.77292,0.86627,0.40801,1.09672,0.000312214,0.000312214,0.000312214
62,1160.71,0.75665,0.47107,1.04249,0.98413,0.97814,0.98463,0.78033,0.8791,0.4146,1.10487,0.000304601,0.000304601,0.000304601
63,1177.84,0.75508,0.47295,1.04102,0.98172,0.98001,0.98014,0.7726,0.83844,0.39586,1.09125,0.000296988,0.000296988,0.000296988
64,1195.53,0.75021,0.46444,1.03442,0.97968,0.97876,0.98129,0.76292,0.87048,0.42121,1.11291,0.000289375,0.000289375,0.000289375
65,1212.99,0.72462,0.46419,1.02902,0.97625,0.96793,0.98128,0.77613,0.84952,0.41131,1.10428,0.000281762,0.000281762,0.000281762
66,1230.7,0.75496,0.46488,1.0369,0.9771,0.96906,0.98398,0.77617,0.85065,0.39511,1.10509,0.000274148,0.000274148,0.000274148
67,1248.65,0.74355,0.44776,1.02848,0.98238,0.97393,0.98429,0.78132,0.84183,0.39428,1.09576,0.000266535,0.000266535,0.000266535
68,1266.21,0.74863,0.45713,1.03839,0.98177,0.9666,0.98285,0.77718,0.85091,0.40567,1.09203,0.000258922,0.000258922,0.000258922
69,1284.64,0.73087,0.45655,1.03072,0.9815,0.97177,0.98416,0.78171,0.85264,0.39974,1.11361,0.000251309,0.000251309,0.000251309
70,1303.27,0.72589,0.44703,1.01806,0.9804,0.97477,0.9796,0.77453,0.83909,0.39795,1.08094,0.000243696,0.000243696,0.000243696
71,1321.57,0.72036,0.44614,1.02522,0.98271,0.97448,0.98081,0.77941,0.83321,0.39939,1.0818,0.000236083,0.000236083,0.000236083
72,1340.01,0.72539,0.44964,1.02988,0.9814,0.97411,0.98277,0.78281,0.83684,0.39863,1.09537,0.00022847,0.00022847,0.00022847
73,1358.89,0.7277,0.44058,1.02772,0.98107,0.97844,0.98098,0.77128,0.84854,0.40452,1.09144,0.000220857,0.000220857,0.000220857
74,1377.1,0.71215,0.43461,1.02181,0.98438,0.98099,0.98542,0.77915,0.84968,0.4079,1.09842,0.000213244,0.000213244,0.000213244
75,1397.42,0.72266,0.4364,1.02384,0.98565,0.98029,0.98088,0.76873,0.85763,0.41836,1.09288,0.000205631,0.000205631,0.000205631
76,1414.72,0.70894,0.43445,1.02534,0.98322,0.98004,0.98287,0.77276,0.84609,0.40686,1.09341,0.000198018,0.000198018,0.000198018
77,1432.99,0.7206,0.43673,1.02826,0.98228,0.97613,0.98188,0.7736,0.82545,0.39369,1.07547,0.000190404,0.000190404,0.000190404
78,1450.08,0.69861,0.43012,1.01896,0.9837,0.97937,0.98149,0.77412,0.83091,0.39181,1.07281,0.000182791,0.000182791,0.000182791
79,1467.84,0.70717,0.43448,1.01623,0.98505,0.97314,0.98279,0.77499,0.83867,0.39326,1.08837,0.000175178,0.000175178,0.000175178
80,1485.05,0.69437,0.41957,1.01424,0.9834,0.97874,0.98009,0.76887,0.85834,0.40781,1.09786,0.000167565,0.000167565,0.000167565
81,1502.67,0.68507,0.42071,1.0097,0.98329,0.9828,0.98502,0.77456,0.83275,0.38722,1.07607,0.000159952,0.000159952,0.000159952
82,1519.99,0.67975,0.41366,1.00091,0.98383,0.97505,0.98226,0.77804,0.8401,0.39028,1.08787,0.000152339,0.000152339,0.000152339
83,1537.59,0.68374,0.40344,1.00856,0.98586,0.98262,0.98419,0.77828,0.84863,0.39356,1.08354,0.000144726,0.000144726,0.000144726
84,1555.28,0.69341,0.42197,1.01343,0.98527,0.98203,0.98539,0.78405,0.84064,0.37741,1.09314,0.000137113,0.000137113,0.000137113
85,1572.6,0.66974,0.41133,1.00408,0.98315,0.98268,0.98408,0.7777,0.83928,0.37692,1.07033,0.0001295,0.0001295,0.0001295
86,1589.81,0.67757,0.40801,1.00749,0.9814,0.97914,0.98024,0.77303,0.83781,0.39127,1.08287,0.000121887,0.000121887,0.000121887
87,1607.63,0.66662,0.39689,0.99756,0.97953,0.98448,0.98389,0.77306,0.85051,0.38337,1.09702,0.000114273,0.000114273,0.000114273
88,1625.14,0.6617,0.40071,0.99484,0.98203,0.97423,0.98584,0.78084,0.84148,0.39161,1.09128,0.00010666,0.00010666,0.00010666
89,1642.23,0.65044,0.40454,0.99484,0.98239,0.97667,0.98449,0.77829,0.85676,0.4024,1.10879,9.90472e-05,9.90472e-05,9.90472e-05
90,1659.46,0.65361,0.39611,0.99536,0.9837,0.97986,0.98262,0.77858,0.8389,0.38438,1.09839,9.14341e-05,9.14341e-05,9.14341e-05
91,1691.25,0.55277,0.29715,0.90377,0.98253,0.97796,0.98325,0.77324,0.86705,0.41304,1.11494,8.3821e-05,8.3821e-05,8.3821e-05
92,1708.81,0.53733,0.28917,0.89918,0.98034,0.97962,0.98203,0.77669,0.86024,0.39748,1.1005,7.62079e-05,7.62079e-05,7.62079e-05
93,1726.23,0.53022,0.28293,0.91151,0.98709,0.97866,0.97885,0.77181,0.8543,0.38517,1.10896,6.85948e-05,6.85948e-05,6.85948e-05
94,1743.53,0.52572,0.28083,0.90075,0.98194,0.98588,0.983,0.77302,0.84415,0.3858,1.09704,6.09817e-05,6.09817e-05,6.09817e-05
95,1760.96,0.51666,0.27461,0.89767,0.98299,0.98493,0.98293,0.77752,0.85277,0.37822,1.10425,5.33686e-05,5.33686e-05,5.33686e-05
96,1778.06,0.52154,0.27728,0.89999,0.98078,0.98025,0.98251,0.77885,0.84835,0.38548,1.09942,4.57555e-05,4.57555e-05,4.57555e-05
97,1794.88,0.5168,0.27368,0.89477,0.98184,0.98181,0.98215,0.77268,0.85302,0.38203,1.10532,3.81424e-05,3.81424e-05,3.81424e-05
98,1811.99,0.50998,0.27142,0.89396,0.98297,0.98473,0.98258,0.77983,0.84082,0.37857,1.08828,3.05293e-05,3.05293e-05,3.05293e-05
99,1830.76,0.51047,0.26967,0.88755,0.98191,0.9858,0.98268,0.77389,0.84278,0.38111,1.08979,2.29162e-05,2.29162e-05,2.29162e-05
100,1848.46,0.49587,0.26319,0.88335,0.98261,0.98554,0.98296,0.77687,0.84268,0.3796,1.09016,1.53031e-05,1.53031e-05,1.53031e-05
